handle,display_name,total_msgs,outbound,inbound,replied,first_msg,last_msg,scripts_used,last_inbound
davisdealandkevinwhalen,Davis Deal and Kevin Whalen,25,5,20,YES,2026-07-25,2026-08-05,,"Kevin sent an attachment. ​ In Book 9 of Homer’s Odyssey, Polyphemus wasn’t actively seeking war, glory, or conflict. As"
deltachisyracuseuniversity,Delta Chi - Syracuse University,23,12,11,YES,2026-06-16,2026-06-18,A,He’s wondering what for?
alphasigmaphigammatheta,Alpha Sigma Phi - Gamma Theta,19,10,9,YES,2026-08-05,2026-08-05,A/B,Whats going on Michael this is Owen Heney I run the account. What your number and can you give me some details about the
pikappaalpha,Pi Kappa Alpha,15,10,5,YES,2025-09-12,2026-01-13,,What is this for?
lambdachialpha,Lambda Chi Alpha,14,6,8,YES,2025-09-12,2025-09-12,,"sure, try it for about 60 guys next semester in NOLA."
deltasigmaphi,Delta Sigma Phi,13,8,5,YES,2026-03-02,2026-03-10,A,Hey here’s the presidents number Elijah Lane feel free to reach out to him he should be available all day tomorrow
pikappaalphamuchapterpresbyteriancollege,Pi Kappa Alpha - Mu Chapter: Presbyterian College,12,6,6,YES,2025-09-12,2025-10-14,,What’s up man we are looking to book a mountain weekend house that will sleep 30-35. Optimal location would be Gatlinbur
texaspike,Texas PIKE,12,4,8,YES,2025-11-05,2026-01-14,,Reach out to our socials
ufalphatauomega,UF Alpha Tau Omega,12,9,3,YES,2026-03-02,2026-06-11,A,"Hey sorry, just now seeing this. Would you still want to schedule a meeting?"
appalachianstatepike,Appalachian State Pike,11,6,5,YES,2025-09-12,2026-06-17,,Can talk to the guys!
teropsicgasperranaalarajjackdysonand22others,"Teropšič Gašper, Rana Alaraj, Jack dyson and 22 others",11,0,11,YES,2026-01-21,2026-01-21,,A contact created the group chat.
alphaepsilonpi,Alpha Epsilon Pi,9,4,5,YES,2026-06-15,2026-06-15,A,Hey Michael and why exactly are you asking to schedule a meeting? Big lack of details here
pikappaalpha,Pi Kappa Alpha,9,4,5,YES,2026-07-06,2026-07-06,A/B,For what
pikappaalphamulambda,Pi Kappa Alpha • Mu Lambda,9,4,5,YES,2026-07-06,2026-07-27,A,🍺
alphasigmaphiecu,Alpha Sigma Phi | ECU,8,5,3,YES,2026-08-05,2026-08-05,A,No thanks 😂✌🏻
betathetapiappalachianstateuniversity,Beta Theta Pi - Appalachian State University,8,4,4,YES,2026-08-05,2026-08-05,A,Hey how you doing Michael
southerncaliforniapike,Southern California Pike,8,6,2,YES,2025-09-12,2026-06-17,,Hey how’s it going! Could you give me some more details on the company and what you guys are looking for?
pkaomegachapter,πΚα - Omega Chapter,8,5,3,YES,2026-06-17,2026-07-06,A,What's up Michael yea I can definitely get you in contact with the president. Can I ask what it is about first?
pikappaalpha,Pi Kappa Alpha,7,4,3,YES,2025-09-12,2025-11-05,,Hey would be down to figure something out
fresnostatesigmachi,Fresno State Sigma Chi ✞,7,5,2,YES,2026-06-17,2026-06-18,,Lmao we aren’t pike bro
